,Title:,Citation:,Section:,Document Date:,Congress-Session:,Reference Volume:,Permalink:,Speaker(s):
11,WATER RESOURCES DEVELOPMENT ACT OF 2016,162 Cong Rec H 6036,House,28-Sep-16,114- 2,Vol.  162   No.  147   Pg.  H6036,https://congressional.proquest.com/congressional/docview/t17.d18.cr28se2016_dat-115?accountid=14537,John Abney Culberson; Pete A. Sessions; Peter A. DeFazio; Eddie Bernice Johnson; Bradley Byrne; Reid J. Ribble; Eric A. Crawford; Al Green; Blake Farenthold; Sam Robert Johnson
12,TEXT OF AMENDMENTS,165 Cong Rec S 6248,Senate,29-Oct-19,116- 1,Vol.  165   No.  171   Pg.  S6248,https://congressional.proquest.com/congressional/docview/t17.d18.cr29oc2019_dat-157?accountid=14537,TEXT OF AMENDMENTS
13,"COMMERCE, JUSTICE, SCIENCE, AGRICULTURE, RURAL DEVELOPMENT, FOOD AND DRUG ADMINISTRATION, INTERIOR, ENVIRONMENT, MILITARY CONSTRUCTION, VETERANS AFFAIRS, TRANSPORTATION, AND HOUSING AND URBAN DEVELOPMENT APPROPRIATIONS ACT, 2020-Resumed",165 Cong Rec S 6309,Senate,31-Oct-19,116- 1,Vol.  165   No.  173   Pg.  S6309,https://congressional.proquest.com/congressional/docview/t17.d18.cr31oc2019_dat-113?accountid=14537,Tom S. Udall; Richard J. Durbin; Patrick J. Leahy; Jon Tester; Martha McSally; Mike Lee; Doug Jones; John Thune; Mitch McConnell; John F. Reed; Charles E. Schumer; Jeanne Shaheen
14,WATER RESOURCES DEVELOPMENT ACT OF 2020,166 Cong Rec H 6935,House,8-Dec-20,116- 2,Vol.  166   No.  207   Pg.  H6935,https://congressional.proquest.com/congressional/docview/t17.d18.cr08de2020_dat-98?accountid=14537,Grace F. Napolitano; Chris Jacobs; Eddie Bernice Johnson; Lee Zeldin; Sam B. Graves; Bruce Westerman; Stacey Plaskett; Brian Mast; Peter A. DeFazio; Henry Cuellar; Marcy Kaptur; David Rouzer; Rodney Davis; John Garamendi; Brian Babin
15,INNOVATIVE STORMWATER INFRASTRUCTURE ACT OF 2018,164 Cong Rec H 6219,House,16-Jul-18,115- 2,Vol.  164   No.  119   Pg.  H6219,https://congressional.proquest.com/congressional/docview/t17.d18.cr16jy2018_dat-69?accountid=14537,Denny Heck; Garret Graves; Grace F. Napolitano
16,PROMOTING FLOOD RISK MITIGATION ACT,164 Cong Rec H 6224,House,16-Jul-18,115- 2,Vol.  164   No.  119   Pg.  H6224,https://congressional.proquest.com/congressional/docview/t17.d18.cr16jy2018_dat-73?accountid=14537,Marshall Sanford; Lou Barletta; Peter A. DeFazio; Dina Titus
17,WATER RESOURCES DEVELOPMENT ACT OF 2018,164 Cong Rec H 4798,House,6-Jun-18,115- 2,Vol.  164   No.  93   Pg.  H4798,https://congressional.proquest.com/congressional/docview/t17.d18.cr06ju2018_dat-68?accountid=14537,Marshall Sanford; Bill Shuster; Grace F. Napolitano; Doug LaMalfa; Eddie Bernice Johnson; Tulsi Gabbard; Sam B. Graves; Garret Graves; Peter A. DeFazio; Brenda Lawrence; Gene Eugene Green; David Rouzer; Rodney Davis; Daniel T. Kildee
18,WATER RESOURCES DEVELOPMENT ACT OF 2018,164 Cong Rec H 4815,House,6-Jun-18,115- 2,Vol.  164   No.  93   Pg.  H4815,https://congressional.proquest.com/congressional/docview/t17.d18.cr06ju2018_dat-70?accountid=14537,Marshall Sanford; Bill Shuster; Denny Heck; Mark Meadows; Richard M. Nolan; Nydia M. Velázquez; Edward R. Royce; Jeff Denham; Paul Mitchell; Cathy McMorris Rodgers; Erik Paulsen; Garret Graves; Rod Blum; Mike Bost; Pramila Jayapal; Gwen Moore; Kurt Schrader; Clay Higgins; Sanford D. Bishop Jr.; Carol Shea-Porter; Brian Babin; Gregory W. Meeks; Jim Costa; Bob Gibbs; Elizabeth H. Esty; Jason Lewis; Randy K. Weber; Stevan E. Pearce; Don E. Young; William R. Keating; Pete Olson; Seth Moulton; Mike Kelly; David P. Joyce; Jason T. Smith; Brian Mast; John Abney Culberson; Peter A. DeFazio; Leonard Lance; Ben Ray Luján; Darren Soto; Rick Larsen; Raja Krishnamoorthi; Rodney Davis; Al Green; Grace F. Napolitano
19,WATER RESOURCES DEVELOPMENT ACT OF 2020,166 Cong Rec H 3927,House,29-Jul-20,116- 2,Vol.  166   No.  134   Pg.  H3927,https://congressional.proquest.com/congressional/docview/t17.d18.cr29jy2020_dat-107?accountid=14537,Harold Rogers; Jimmy Panetta; Eddie Bernice Johnson; Nanette Barragán; Lee Zeldin; Mark DeSaulnier; Sam B. Graves; Bruce Westerman; Garret Graves; Carol D. Miller; Henry Cuellar; Kim Schrier; Raul Ruiz; Brian Babin; Sheila Jackson Lee; Jesús G. García; Conor Lamb; Rick Allen; Don E. Young; Brian Mast; Anthony Gonzalez; Peter A. DeFazio; Adrian Smith; Marcy Kaptur; Rodney Davis
20,CONGRESSMAN ROHRABACHER ON SCIENCE,135 Cong Rec S 7842,Senate,12-Jul-89,101- 1,Vol.  135   No.  92   Pg.  S7842,https://congressional.proquest.com/congressional/docview/t17.d18.c45260040a00413f?accountid=14537,Robert Walter Kasten Jr.
21,"A NICARAGUAN ""HOLIDAY"" -- HARSH REALITY",131 Cong Rec E 2674,Extension of Remarks,11-Jun-85,99- 1,Vol.  131   No.  77   Pg.  E2674,https://congressional.proquest.com/congressional/docview/t17.d18.9eac944744cf2a03?accountid=14537,William O. Lipinski
